H,B
71.92096179,0.918673643
72.46004306,0.925079102
73.77645672,0.938993187
74.22357592,0.944161008
75.65073474,0.958763516
76.16069594,0.964029029
77.52250836,0.977366474
78.46322868,0.986719667
79.40830668,0.99545974
80.32475298,1.003975089
81.83282314,1.017522018
82.79056096,1.025782442
83.72214643,1.033650579
85.24126732,1.046275222
86.15161537,1.053734876
87.69927405,1.065849742
89.21839493,1.07730207
90.15648562,1.084272014
91.66795552,1.095283025
93.14501479,1.10572605
94.67722749,1.11611922
96.20234019,1.126267662
97.68631789,1.13595131
98.91783819,1.14462995
100.6177715,1.154289539
102.1253032,1.163306458
104.2255419,1.175561228
105.7349958,1.184153073
107.8567286,1.195793873
109.3567158,1.203779703
111.549167,1.215102635
113.6248375,1.225512347
115.7277998,1.235834418
117.263431,1.243164479
119.9267996,1.255419147
122.0363673,1.264791926
124.1188498,1.273880394
126.7894874,1.285126433
128.898836,1.293753324
131.5448678,1.304369496
134.1949631,1.314606141
136.882756,1.324654563
139.5581834,1.334425607
142.2348254,1.343831775
144.91081,1.353094702
148.1637865,1.363965679
151.4137576,1.374461273
154.6769709,1.384749301
157.9211756,1.394645839
161.1567526,1.404238485
164.4165098,1.413669906
168.2300053,1.424379803
171.4842089,1.433287984
175.3106647,1.443383344
179.1738039,1.453314686
183.4318454,1.463929001
188.4156345,1.475847296
192.5889015,1.485701263
195.8979518,1.493426757
200.7239191,1.5042861
205.6803851,1.514860285
209.8192477,1.523608222
214.6645866,1.533604744
219.473743,1.543106695
224.8121633,1.553436069
230.1378175,1.563494742
235.5145366,1.573333826
241.9893095,1.584846481
247.3427626,1.594103133
252.7082807,1.603104327
259.173036,1.613756278
265.693502,1.624131475
272.1900007,1.634181884
278.660272,1.643927574
285.1764429,1.653416753
292.8509238,1.66433723
299.3188034,1.673269132
307.0296359,1.683578833
314.6708519,1.693541785
322.3396416,1.703256478
331.0207903,1.713761123
340.9383617,1.725475571
349.2485254,1.735049711
356.5938575,1.74339037
365.4904422,1.753267871
375.3236962,1.763639602
386.0022086,1.774642263
396.6271078,1.785208043
405.0241997,1.793305018
415.6841544,1.803315374
428.7466869,1.815171596
439.3935123,1.824568768
450.0864313,1.833672998
463.0895466,1.84440171
476.0650695,1.854779565
486.7724829,1.863086742
502.0734226,1.874525353
515.0402865,1.883883125
530.3443818,1.894544546
543.3889639,1.903324302
541.7967142,1.903018109
521.7070478,1.892999089
502.7998904,1.882873075
483.4159489,1.871831692
466.6303741,1.861728931
452.5962606,1.852784074
437.2619746,1.842878498
421.9528204,1.832569024
406.7168264,1.822142658
393.7155518,1.812782925
380.6794597,1.803031941
367.7069107,1.793027448
354.7442229,1.782727023
341.6765063,1.772027078
331.0164076,1.763067442
318.004076,1.751731474
307.3217882,1.742144468
296.6644444,1.732338425
286.0388502,1.722211316
275.3138621,1.711791914
264.6347737,1.701056931
256.3002796,1.692440887
245.5747594,1.681015931
237.2683836,1.671934305
228.7240573,1.662344068
219.8985228,1.652171835
211.0888664,1.641733669
203.6577769,1.632754542
195.1893092,1.622175867
187.5424895,1.612377752
179.6071677,1.601917422
172.1079518,1.591635297
165.6417064,1.582652162
157.9771743,1.571800668
151.5556514,1.562501551
145.0750056,1.552771661
138.56184,1.542755251
132.0719717,1.532523619
125.566119,1.521945338
120.2102554,1.512999756
113.7325648,1.50184002
108.365951,1.492414595
103.0280754,1.482751438
97.70687913,1.472881666
92.38396109,1.462741949
87.05666658,1.452260685
81.66546571,1.441392901
77.52235809,1.432804439
72.68909672,1.422295539
67.88403504,1.411871859
63.70328609,1.402456129
59.58087119,1.392821759
55.15020681,1.382215911
51.35679045,1.372778336
47.51297277,1.3630681
43.69200786,1.353065491
39.73042639,1.342343445
35.91819563,1.331736678
32.66428002,1.32238643
28.95086089,1.311514361
25.68364685,1.30149409
23.0405264,1.293032972
19.78738717,1.282482963
16.51281642,1.271381802
13.84860254,1.262078737
11.18726248,1.252366125
8.516230341,1.242392174
5.863298849,1.231998022
3.181654256,1.221160717
1.101087689,1.21239169
-1.174478775,1.202301036
-3.284553595,1.192780743
-5.375425824,1.182898785
-7.465772126,1.172509071
-9.533860453,1.161705124
-11.61829634,1.150407794
-13.11289902,1.14164134
-14.64791667,1.132454704
-16.15720147,1.122615376
-17.65988088,1.112653057
-19.17378632,1.101153595
-20.67945225,1.089380632
-21.62478696,1.081411662
-23.09328112,1.067758411
-23.56584517,1.061986587
-24.94847552,1.045905034
-25.41564881,1.03763006
-25.77668507,1.032351652
-26.51465433,1.020944531
-27.01215608,1.010697627
-27.80879749,0.994001924
-28.20788205,0.984489971
-28.62672642,0.975278323
-29.04446886,0.966134062
-29.34455395,0.958466641
-29.72102991,0.950714335
-30.11459849,0.94189959
-30.81593445,0.925539462
-31.28583756,0.911101274
-31.622725,0.900745431
-31.99380395,0.89024797
-32.40912336,0.879051533
-32.75282907,0.870150372
-33.08287947,0.861376766
-33.49583221,0.85139424
-33.82443005,0.841424992
-34.29180996,0.825834993
-34.64868262,0.811409053
-35.38251961,0.793038161
-36.02743739,0.760727009
-36.96601018,0.737584039
-37.43722811,0.719595814
-37.82287648,0.704218862
-38.14581434,0.690229053
-38.52605318,0.675247826
-38.84636141,0.656550884
-39.15924405,0.636902606
-39.56728188,0.619139461
-39.73950414,0.602284563
-39.99400264,0.586425644
-40.40939719,0.564587705
-40.79457599,0.542570074
-41.11398262,0.521459184
-41.48236933,0.498438071
-41.85932113,0.474880441
-42.19260848,0.451217177
-42.53321498,0.428043228
-42.85587735,0.403756803
-43.21274376,0.377060382
-43.57066827,0.348985169
-44.28887146,0.276914974
-44.37681394,0.269650833
-44.6977107,0.258241005
-44.93946174,0.242123362
-45.19206315,0.222897499
-45.46597085,0.196182026
-45.80000953,0.167767148
-46.15720776,0.139227145
-46.53175533,0.109732563
-46.87087796,0.079627805
-47.24408566,0.049522908
-47.66464556,0.019992201
-47.98114708,-0.008516431
-48.32901638,-0.037961046
-48.71477119,-0.067003114
-49.01638397,-0.093888845
-49.37536034,-0.120904048
-49.76971781,-0.149003327
-50.14072163,-0.175096201
-50.51125587,-0.198837199
-50.80935621,-0.222716525
-51.20991211,-0.246035869
-51.57709043,-0.269922206
-51.95290899,-0.292076417
-52.33969061,-0.31275896
-52.70109,-0.333540225
-53.04977949,-0.352367035
-53.39696008,-0.368898035
-53.73144328,-0.386894825
-54.08323825,-0.402793219
-54.44510722,-0.418541139
-54.84122404,-0.435216036
-55.16187036,-0.450800718
-55.54016829,-0.466130216
-55.88116297,-0.479849662
-56.23884331,-0.493512876
-56.57710192,-0.506010915
-56.97750129,-0.519074492
-57.25160935,-0.53002376
-57.62569985,-0.542406019
-58.02077735,-0.555432852
-58.56740942,-0.579496426
-59.12785334,-0.589844974
-59.57379547,-0.603265749
-59.95765945,-0.614696642
-60.27785498,-0.624016997
-60.68277481,-0.634424622
-61.07078986,-0.644900198
-61.39886177,-0.653649853
-61.76347307,-0.662549967
-62.14863309,-0.672156251
-62.40757692,-0.67966027
-62.80249163,-0.687957436
-63.57572304,-0.705640417
-64.07371314,-0.7170475
-64.89604358,-0.73529188
-65.36689836,-0.745359054
-65.71745364,-0.752528739
-66.08589044,-0.760382784
-66.41836385,-0.767223584
-67.2173782,-0.781947312
-67.71365904,-0.791158245
-68.12544723,-0.798572183
-68.86443079,-0.811180738
-69.3312159,-0.81957713
-70.15791654,-0.833556646
-70.6545793,-0.841600754
-71.44033278,-0.853439686
-71.87840479,-0.860676254
-72.72132777,-0.872819638
-73.19250187,-0.879917535
-74.04301948,-0.89164805
-74.50060713,-0.898351989
-75.34019298,-0.90924716
-76.25394077,-0.921151538
-76.74647125,-0.9274861
-77.5484095,-0.937226892
-78.45677906,-0.948461992
-79.4184989,-0.959257909
-80.3259293,-0.969841521
-81.26178481,-0.979913769
-82.21025003,-0.989947197
-83.1017148,-0.999403553
-83.92530997,-1.00987734
-85.07596901,-1.018774711
-85.9976558,-1.027521418
-87.53473959,-1.041707385
-88.44493737,-1.049888189
-89.38728557,-1.058278819
-90.88866894,-1.070767498
-91.8534692,-1.07861427
-93.16715305,-1.089946036
-94.74246671,-1.101270288
-95.67077141,-1.108350101
-97.1877385,-1.119317678
-98.72662547,-1.130127771
-100.2394728,-1.140483263
-101.7347767,-1.150347549
-103.272543,-1.160309348
-104.774302,-1.169670261
-106.2801871,-1.178818636
-107.8024447,-1.187818436
-109.8996594,-1.199898247
-111.4095265,-1.208263729
-113.4762561,-1.219429062
-114.9998224,-1.227413294
-117.0889916,-1.238152549
-119.2011889,-1.248621709
-121.2964564,-1.258615225
-123.3833591,-1.268195557
-125.4785827,-1.277768045
-128.1531336,-1.289402093
-130.2312145,-1.298142588
-132.8997798,-1.309254369
-135.0166541,-1.317649437
-137.6572576,-1.327989828
-140.3463779,-1.337974067
-142.9812463,-1.347719294
-145.6666037,-1.357225802
-148.9108397,-1.368443445
-151.5767316,-1.377329658
-154.8273789,-1.38783311
-158.0710327,-1.397996696
-161.5977666,-1.408860132
-164.7220224,-1.418114525
-167.926576,-1.427312656
-171.7798354,-1.438032503
-175.4887966,-1.447900717
-179.3204429,-1.457972613
-183.1349714,-1.467653858
-186.9489866,-1.477152302
-191.382531,-1.487726753
-195.7884581,-1.49799618
-200.1960819,-1.507934547
-205.1084577,-1.518563482
-209.280053,-1.52736118
-214.1026393,-1.537540307
-219.0902977,-1.547516231
-224.1105261,-1.557173054
-229.4231635,-1.56725985
-234.8063503,-1.577094352
